Bus Name ,x,y
v47,42.67929432,-75.48055451
v48,42.67944788,-75.48005093
v49,42.67959059,-75.4792808
v50,42.67977446,-75.47819316
v51,42.67988488,-75.47760677
v52,42.67994207,-75.47724701
v53,42.67996746,-75.47693823
v54,42.67995415,-75.47665358
v55,42.67997288,-75.47621906
v56,42.67996006,-75.47576074
v57,42.67996524,-75.47530074
v58,42.679964,-75.47475323
v59,42.67991988,-75.47424529
v60,42.6799152,-75.47383357
v61,42.67989573,-75.47336955
v62,42.67987034,-75.47285926
v63,42.67985062,-75.47205862
v64,42.6798139,-75.47139075
v65,42.67981365,-75.47093477
v66,42.67979738,-75.47046941
v67,42.6796315,-75.47018677
v68,42.67959034,-75.4693858
v69,42.679807,-75.46869714
v70,42.67986246,-75.46814863
v71,42.67995217,-75.46717498
v0711,42.67957728,-75.46719208
v0712,42.67933425,-75.46796959
v0713,42.67914224,-75.46853922
v07131,42.67867737,-75.47002416
v07132,42.67807915,-75.47000069
v07133,42.67878287,-75.46843797
v0714,42.67812525,-75.46864081
v0715,42.67753515,-75.46886913
v72,42.67975918,-75.46649572
v73,42.67991003,-75.46568368
v74,42.67998077,-75.46470098
v79,42.68005693,-75.46394192
v80,42.68010302,-75.46312653
v81,42.68013038,-75.46270709
v83,42.68016488,-75.46185751
v84,42.68019964,-75.46108335
v85,42.68023365,-75.46026226
v86,42.68028245,-75.45936942
v87,42.68031745,-75.45851983
v88,42.68035566,-75.45761961
v89,42.68040495,-75.4567365
v90,42.68045129,-75.45590904
v91,42.68047273,-75.45518652
v92,42.68049369,-75.45428328
v93,42.68056122,-75.45352388
v94,42.68075668,-75.45272123
v95,42.6809684,-75.45187399
v97,42.68116977,-75.45114107
v98,42.6814155,-75.45012619
v99,42.68162599,-75.44927493
v100,42.68186704,-75.44836499
v01001,42.681415,-75.447951
v01002,42.680842,-75.447954
v101,42.68218301,-75.44769946
v102,42.68235037,-75.44681367
v103,42.68246769,-75.44590238
v104,42.68256011,-75.44509001
v105,42.68265574,-75.44429172
v01051,42.68170042,-75.44408452
v106,42.68279401,-75.44319034
v107,42.68288225,-75.44249263
v108,42.68297221,-75.4415857
v109,42.68308928,-75.4406932
v110,42.68318762,-75.43983456
v111,42.68330075,-75.43894909
v112,42.68341363,-75.43807168
v113,42.68359108,-75.43742593
v114,42.68382744,-75.43662898
v115,42.68405394,-75.43591686
v116,42.68425505,-75.43525368
